distance,risk,value
0,heat,0
1.20416E-05,heat,0
0.000108582,heat,0
0.000196246,heat,0
0.00040704,heat,0
0.000416526,heat,0
0.001197834,heat,0
0.001468768,heat,0
0.001587039,heat,0
0.002247133,heat,0
0.002385672,heat,0
0.002721442,heat,0
0.002792124,heat,0
0.00326591,heat,0
0.00331122,heat,0
0.003379374,heat,0
0.003456763,heat,0
0.003501707,heat,0
0.003965704,heat,0
0.00412189,heat,0
0.00426098,heat,0
0.004529743,heat,0
0.005133254,heat,0
0.005198254,heat,0
0.005296869,heat,0
0.005592572,heat,0
0.00564368,heat,0
0.00589051,heat,0
0.006723096,heat,0
0.006991508,heat,0
0.007387427,heat,0
0.007568703,heat,0
0.008025409,heat,0
0.008679333,heat,0
0.009573637,heat,0
0.009700294,heat,0
0.010132482,heat,0
0.010206055,heat,0
0.01089867,heat,0
0.011405355,heat,0
0.011568466,heat,0
0.011957317,heat,0
0.012224408,heat,0
0.012983625,heat,0
0.013705026,heat,0
0.015096455,heat,0
0.015458946,heat,0
0.01550149,heat,0
0.015547555,heat,0
0.016105295,heat,0
0.016480193,heat,0
0.016632882,heat,0
0.016751709,heat,0
0.017220122,heat,0
0.017447069,heat,0
0.017760611,heat,0
0.017863339,heat,0
0.017940307,heat,0
0.025926916,heat,0
0.027524446,heat,0
0.027900112,heat,0
0.028715892,heat,0
0.028865616,heat,0
0.028941207,heat,0
0.029079438,heat,0
0.03101542,heat,0
0.031627323,heat,0
0.032424679,heat,0
0.033204281,heat,0
0.033716685,heat,0
0.033870285,heat,0
0.034304042,heat,0
0.03469811,heat,0
0.034936716,heat,0
0.036272507,heat,0
0.036673552,heat,0
0.036886768,heat,0
0.037057466,heat,0
0.037239502,heat,0
0.037674787,heat,0
0.038271472,heat,0
0.038503407,heat,0
0.038700833,heat,0
0.039059069,heat,0
0.039239837,heat,0
0.039520965,heat,0
0.039757545,heat,0
0.039979265,heat,0
0.040117616,heat,0
0.040408128,heat,0
0.040627256,heat,0
0.040888294,heat,0
0.041510709,heat,0
0.041925365,heat,0
0.042258767,heat,0
0.042425372,heat,0
0.042442865,heat,0
0.042951137,heat,0
0.044292887,heat,0
0.045237336,heat,0
0.046093288,heat,0
0.046540641,heat,0
0.047126567,heat,0
0.048300079,heat,0
0.04863166,heat,0
0.049089412,heat,0
0.049477396,heat,0
0.049886029,heat,0
0.050043922,heat,0
0.050865536,heat,0
0.050929426,heat,0
0.051290515,heat,0
0.051404917,heat,0
0.051937582,heat,0
0.052877423,heat,0
0.053339413,heat,0
0.053641765,heat,0
0.054415582,heat,0
0.055150796,heat,0
0.056123027,heat,0
0.056397786,heat,0
